YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,10,GEORGIA,2212.0,27241.898,12.315505424954793
2016,10,GERMANY,185801.0,2662166.58,14.32805302447242
2016,10,GREECE,38126.0,334595.643,8.776048969207364
2016,10,HUNGARY,8479.0,68294.542,8.054551480127374
2016,10,IRELAND,24099.0,242171.343,10.049020415784888
2016,10,ITALY,97973.0,1145687.343,11.693908964714769
2016,10,LATVIA,6077.0,32349.006,5.323186769787724
2016,10,LITHUANIA,4913.0,28187.176,5.73726358640342
2016,10,LUXEMBOURG,6028.0,131882.069,21.87824635036496
2016,10,MALTA,4323.0,38481.196,8.901502660189683
2016,10,MONTENEGRO,978.0,7886.979,8.064395705521473
2016,10,NETHERLANDS,48046.0,956845.073,19.915186966656954
2016,10,NORWAY,41882.0,261443.742,6.242389140919727
2016,10,POLAND,31022.0,195389.312,6.29841119205725
2016,10,PORTUGAL,33876.0,363585.181,10.73282503837525
2016,10,ROMANIA,9763.0,102896.475,10.539432039332173
2016,10,SERBIA,5524.0,33278.545,6.024356444605358
2016,10,SLOVAKIA,1615.0,12497.508,7.738395046439629
2016,10,SLOVENIA,2654.0,8995.412,3.389379050489827
2016,10,SPAIN,166631.0,1426970.415,8.56365511219401
2016,10,SWEDEN,32869.0,277422.643,8.440252000365085
2016,10,SWITZERLAND,38658.0,457526.717,11.835240234880231
2016,10,TÜRKIYE,88708.0,1229987.399,13.865574683230374
2016,10,UNITED KINGDOM,181219.0,3173274.775,17.510717833119042
2016,11,ALBANIA,1808.0,8677.764000000001,4.799648230088496
2016,11,ARMENIA,1548.0,15913.036,10.279739018087856
2016,11,AUSTRIA,24786.0,179011.698,7.222290728637134
2016,11,BELGIUM,25558.0,318378.648,12.45710337272087
2016,11,BOSNIA AND HERZEGOVINA,720.0,4841.534000000001,6.724352777777779
2016,11,BULGARIA,4260.0,36876.345,8.656419014084507
2016,11,CROATIA,2965.0,15451.636,5.2113443507588535
2016,11,CYPRUS,4527.0,53436.606,11.8039774685222
2016,11,DENMARK,21053.0,220217.71,10.460158172231985
2016,11,FINLAND,14199.0,172162.521,12.124975068666808
2016,11,FRANCE,131540.0,1507664.047,11.46163940246313
2016,11,GEORGIA,1861.0,21479.813,11.542081139172486
2016,11,GERMANY,155527.0,2219655.192,14.271831849132305
2016,11,GREECE,19816.0,115944.817,5.851070700444085
2016,11,HUNGARY,7199.0,56517.629,7.85076107792749
2016,11,IRELAND,19955.0,184234.143,9.232480230518668
2016,11,ITALY,82379.0,888591.123,10.786621869651245
2016,11,LATVIA,5210.0,25810.099,4.953953742802303
2016,11,LITHUANIA,4241.0,22627.099,5.335321622258901
2016,11,LUXEMBOURG,5435.0,137019.035,25.210494020239192
2016,11,MALTA,3170.0,27905.218,8.802907886435332
2016,11,MONTENEGRO,750.0,4173.258,5.564344
2016,11,NETHERLANDS,40367.0,825130.905,20.440728937002998
2016,11,NORWAY,38715.0,233908.987,6.041818080847217
2016,11,POLAND,27617.0,178366.915,6.45859126624905
2016,11,PORTUGAL,26331.0,282086.714,10.713102958489992
2016,11,ROMANIA,9093.0,91620.32,10.07591773892005
2016,11,SERBIA,4354.0,26129.275,6.001211529627929
2016,11,SLOVAKIA,1493.0,9592.503,6.424985264567984
2016,11,SLOVENIA,2214.0,6679.95,3.017140921409214
2016,11,SPAIN,129423.0,1037878.348,8.019272834040317
2016,11,SWEDEN,30635.0,256788.364,8.382189130079974
2016,11,SWITZERLAND,32938.0,397509.957,12.068430293278281
2016,11,TÜRKIYE,71326.0,926089.881,12.983903219022517
2016,11,UNITED KINGDOM,151863.0,2696605.89,17.756832737401474
2016,12,ALBANIA,1924.0,9707.154,5.045298336798337
2016,12,ARMENIA,1675.0,17754.814,10.59988895522388
2016,12,AUSTRIA,24786.0,185287.557,7.475492495763738
2016,12,BELGIUM,25254.0,324671.81,12.856252870832343
2016,12,BOSNIA AND HERZEGOVINA,732.0,5033.2970000000005,6.876088797814209
2016,12,BULGARIA,4453.0,39749.329,8.926415674825959
2016,12,CROATIA,2858.0,14524.327,5.081989853044086
2016,12,CYPRUS,4008.0,45218.279,11.282005738522955
2016,12,DENMARK,19384.0,219516.1,11.324602765167148
2016,12,FINLAND,13341.0,194964.71,14.613950228618544
2016,12,FRANCE,132447.0,1611972.022,12.170694859075706
2016,12,GEORGIA,2028.0,22888.676,11.286329388560157
2016,12,GERMANY,149790.0,2230004.035,14.887536117230791
2016,12,GREECE,20406.0,117440.27,5.755183279427619
2016,12,HUNGARY,7319.0,58289.901,7.964189233501844
2016,12,IRELAND,20015.0,189164.299,9.451126605046216
2016,12,ITALY,82740.0,917718.613,11.09159551607445
2016,12,LATVIA,5264.0,26532.931,5.040450417933131
2016,12,LITHUANIA,4143.0,23084.377,5.57189886555636
2016,12,LUXEMBOURG,5207.0,135272.118,25.978897253696942
2016,12,MALTA,3071.0,27635.918,8.998996418104852
2016,12,MONTENEGRO,789.0,4300.628000000001,5.45073257287706
2016,12,NETHERLANDS,39864.0,844712.317,21.189853426650615
2016,12,NORWAY,33308.0,215673.721,6.475132730875465
2016,12,POLAND,27093.0,183609.917,6.777024212896319
2016,12,PORTUGAL,27341.0,295622.758,10.812434000219449
2016,12,ROMANIA,9057.0,94711.995,10.457325273269294
2016,12,SERBIA,4621.0,29092.616,6.29574031594893
2016,12,SLOVAKIA,1426.0,9811.725,6.880592566619916
2016,12,SLOVENIA,2216.0,7112.679,3.209692689530686
2016,12,SPAIN,127568.0,1053287.728,8.25667665872319
2016,12,SWEDEN,27672.0,257754.948,9.314648308759757
2016,12,SWITZERLAND,35834.0,429097.074,11.974579282245912
